id,landmark_id,label
0,27,http://commons.wikimedia.org/wiki/Category:Isa_Khan_Niyazi's_tomb
1,1924,http://commons.wikimedia.org/wiki/Category:Niagara_Falls
2,9070,http://commons.wikimedia.org/wiki/Category:Feroz_Shah_Kotla
3,10419,"http://commons.wikimedia.org/wiki/Category:Qutb_Minar_and_its_monuments,_Delhi"
4,14915,"http://commons.wikimedia.org/wiki/Category:St._Lawrence,_Toronto"
5,20120,"http://commons.wikimedia.org/wiki/Category:Catedral_San_Sebasti%C3%A1n,_Cochabamba"
6,20409,http://commons.wikimedia.org/wiki/Category:Noraduz_Cemetery
7,25093,http://commons.wikimedia.org/wiki/Category:Matka_Canyon
8,27190,http://commons.wikimedia.org/wiki/Category:Perperikon
9,31531,http://commons.wikimedia.org/wiki/Category:Jurassic_Coast
10,36748,http://commons.wikimedia.org/wiki/Category:Kecharis
11,38482,http://commons.wikimedia.org/wiki/Category:Skopje_Fortress
12,40088,http://commons.wikimedia.org/wiki/Category:Masada
13,41648,http://commons.wikimedia.org/wiki/Category:Akkerman_fortress
14,45428,http://commons.wikimedia.org/wiki/Category:Sofiyivsky_Park
15,46705,http://commons.wikimedia.org/wiki/Category:Grand_Canyon
16,47378,http://commons.wikimedia.org/wiki/Category:Eiffel_Tower
17,51856,http://commons.wikimedia.org/wiki/Category:Grote_of_Onze-Lieve-Vrouwekerk_(Breda)
18,64792,"http://commons.wikimedia.org/wiki/Category:Victoria_Memorial,_Kolkata"
19,76303,http://commons.wikimedia.org/wiki/Category:Saint_Holy_Mother_church_of_Yeghvard
20,83144,http://commons.wikimedia.org/wiki/Category:Museum_of_Folk_Architecture_and_Ethnography_in_Pyrohiv
21,85633,http://commons.wikimedia.org/wiki/Category:%C3%87ufut_Qale
22,101399,http://commons.wikimedia.org/wiki/Category:Ljubljana_Castle
23,107164,http://commons.wikimedia.org/wiki/Category:St._Hripsime_church_in_Vagharshapat
24,109169,http://commons.wikimedia.org/wiki/Category:Ogrodzieniec_Castle
25,113209,http://commons.wikimedia.org/wiki/Category:Sal%C3%A8ve
26,113838,http://commons.wikimedia.org/wiki/Category:Nyhavn
27,120734,http://commons.wikimedia.org/wiki/Category:Mathura_Museum
28,139894,http://commons.wikimedia.org/wiki/Category:Pe%C5%A1ter
29,143710,http://commons.wikimedia.org/wiki/Category:Harichavank
30,149980,http://commons.wikimedia.org/wiki/Category:Khotyn_Fortress
31,152708,http://commons.wikimedia.org/wiki/Category:Akbar's_Tomb
32,161902,http://commons.wikimedia.org/wiki/Category:Madrid_R%C3%ADo
33,162833,http://commons.wikimedia.org/wiki/Category:Pakistan_Monument_Islamabad
34,165596,http://commons.wikimedia.org/wiki/Category:Edinburgh_Castle
35,168098,http://commons.wikimedia.org/wiki/Category:Golden_Gate_Bridge
36,173511,http://commons.wikimedia.org/wiki/Category:Purana_Qila
37,176018,http://commons.wikimedia.org/wiki/Category:Hayravank_monastery
38,187779,http://commons.wikimedia.org/wiki/Category:Genoese_fortress_(Sudak)
39,189811,http://commons.wikimedia.org/wiki/Category:Lake_Como
40,189907,http://commons.wikimedia.org/wiki/Category:Itmad-Ud-Daulah's_Tomb
41,190822,http://commons.wikimedia.org/wiki/Category:Faisal_Mosque
42,191292,http://commons.wikimedia.org/wiki/Category:Haghpat
